step 26000: train loss 3.0945, val loss 3.1055
saving checkpoint to out
iter 29840: loss 3.0329, time 4068.49ms, mfu 32.71%
iter 29850: loss 3.2099, time 4182.60ms, mfu 32.65%
iter 29860: loss 3.1627, time 4062.99ms, mfu 32.70%
iter 29870: loss 3.1560, time 4067.57ms, mfu 32.74%
iter 29880: loss 3.0485, time 4060.08ms, mfu 32.79%
iter 29890: loss 3.0081, time 4280.48ms, mfu 32.65%
iter 29900: loss 3.1275, time 4052.85ms, mfu 32.71%
iter 29910: loss 3.3031, time 4136.95ms, mfu 32.69%
iter 29920: loss 3.1184, time 4059.91ms, mfu 32.74%
iter 29930: loss 2.9333, time 4059.23ms, mfu 32.79%
iter 29940: loss 2.9681, time 4183.01ms, mfu 32.73%
iter 29950: loss 3.2022, time 4062.78ms, mfu 32.77%
iter 29960: loss 3.3310, time 4067.74ms, mfu 32.80%
iter 29970: loss 2.9271, time 4192.99ms, mfu 32.73%
iter 29980: loss 3.0236, time 4220.21ms, mfu 32.65%
iter 29990: loss 3.1655, time 4055.35ms, mfu 32.71%
step 30000: train loss 3.0897, val loss 3.0883
saving checkpoint to out
iter 30000: loss 2.9113, time 18429.05ms, mfu 30.17%
iter 30010: loss 3.0947, time 4061.31ms, mfu 30.46%
iter 30020: loss 3.2392, time 4064.69ms, mfu 30.73%
iter 30030: loss 3.0009, time 4062.40ms, mfu 30.97%
iter 30040: loss 3.1638, time 4190.97ms, mfu 31.09%
iter 30050: loss 2.9320, time 4284.88ms, mfu 31.12%
iter 30060: loss 2.9170, time 4067.81ms, mfu 31.32%
iter 30070: loss 3.1291, time 4159.06ms, mfu 31.43%
iter 30080: loss 2.9341, time 4066.22ms, mfu 31.60%
iter 30090: loss 3.2019, time 4066.22ms, mfu 31.75%
iter 30100: loss 3.0579, time 4065.79ms, mfu 31.88%
iter 30110: loss 2.9860, time 4210.13ms, mfu 31.89%
iter 30120: loss 3.1201, time 4047.84ms, mfu 32.03%
iter 30130: loss 3.1380, time 4058.61ms, mfu 32.15%
iter 30140: loss 2.9688, time 4219.40ms, mfu 32.12%
iter 30150: loss 2.9615, time 4060.69ms, mfu 32.23%
iter 30160: loss 3.0941, time 4061.77ms, mfu 32.32%
iter 30170: loss 3.0420, time 4053.10ms, mfu 32.41%
iter 30180: loss 3.0831, time 4105.34ms, mfu 32.45%
iter 30190: loss 3.0122, time 4075.40ms, mfu 32.51%
iter 30200: loss 3.0168, time 4066.53ms, mfu 32.57%
iter 30210: loss 3.0705, time 4198.32ms, mfu 32.52%
iter 30220: loss 2.9203, time 4060.08ms, mfu 32.58%
